Global_apparent_power,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
4.22,3.7,0.52,235.22,15.8,0,1,17
4.178,3.668,0.51,233.99,15.8,0,1,17
4.172,3.662,0.51,233.86,15.8,0,2,16
4.946,4.448,0.498,232.86,19.6,0,1,17
5.882,5.412,0.47,232.78,23.2,0,1,17
5.702,5.224,0.478,232.99,22.4,0,1,16
5.666,5.268,0.398,232.91,22.6,0,2,17
4.476,4.054,0.422,235.24,17.6,0,1,17
3.666,3.384,0.282,237.14,14.2,0,0,17
3.422,3.27,0.152,236.73,13.8,0,0,17
3.586,3.43,0.156,237.06,14.4,0,0,17
3.266,3.266,0,237.13,13.8,0,0,18
3.728,3.728,0,235.84,16.4,0,0,17
5.894,5.894,0,232.69,25.4,0,0,16
7.706,7.706,0,230.98,33.2,0,0,17
7.026,7.026,0,232.21,30.6,0,0,16
5.174,5.174,0,234.19,22,0,0,17
4.474,4.474,0,234.96,19.4,0,0,17
3.248,3.248,0,236.66,13.6,0,0,17
3.236,3.236,0,235.84,13.6,0,0,17
3.228,3.228,0,235.6,13.6,0,0,17
3.258,3.258,0,235.49,13.8,0,0,17
3.178,3.178,0,235.28,13.4,0,0,17
2.72,2.72,0,235.06,11.6,0,0,17
3.834,3.758,0.076,234.17,16.4,0,0,17
3.294,3.216,0.078,232.79,13.8,0,0,17
3.272,3.194,0.078,231.98,13.6,0,0,16
3.278,3.278,0,232.88,14,0,0,17
3.282,3.282,0,232.52,14,0,0,17
3.292,3.292,0,232.87,14,0,0,16
3.316,3.316,0,233.78,14,0,0,17
3.45,3.37,0.08,233.69,14.4,0,0,17
3.564,3.42,0.144,234.04,14.6,0,0,17
3.552,3.41,0.142,233.93,14.6,0,0,16
3.54,3.4,0.14,233.62,14.4,0,0,17
3.54,3.4,0.14,233.64,14.4,0,0,17
3.528,3.388,0.14,233.26,14.4,0,0,16
3.456,3.37,0.086,233.9,14.4,0,0,17
3.332,3.332,0,233.68,14.2,0,0,17
3.31,3.31,0,232.83,14.2,0,0,17
3.312,3.312,0,233,14.2,0,0,16
3.314,3.314,0,233.08,14.2,0,0,17
3.302,3.302,0,232.69,14.2,0,0,16
3.302,3.302,0,232.91,14,0,0,17
3.3,3.3,0,232.87,14,0,0,17
3.29,3.29,0,232.42,14,0,0,16
3.286,3.286,0,232.31,14,0,0,17
3.282,3.23,0.052,232.79,13.8,0,0,16
3.296,3.218,0.078,233.05,13.8,0,0,17
3.334,3.258,0.076,234.57,13.8,0,0,17
3.34,3.264,0.076,234.79,13.8,0,0,17
3.336,3.26,0.076,234.6,13.8,0,0,17
3.338,3.262,0.076,234.54,13.8,0,0,17
3.34,3.264,0.076,234.6,13.8,0,0,16
3.314,3.238,0.076,233.77,13.8,0,0,17
3.306,3.228,0.078,233.5,13.8,0,0,17
3.3,3.222,0.078,233.27,13.8,0,0,17
3.304,3.226,0.078,233.37,13.8,0,0,16
3.284,3.206,0.078,232.64,13.6,0,0,17
3.268,3.188,0.08,231.95,13.6,0,0,16
3.276,3.196,0.08,232.21,13.6,0,0,17
3.282,3.204,0.078,232.5,13.6,0,0,16
3.31,3.232,0.078,233.63,13.8,0,0,17
3.328,3.254,0.074,234.43,13.8,0,0,17
3.426,3.376,0.05,234.63,14.4,0,0,17
3.42,3.372,0.048,235.05,14.2,0,0,17
3.414,3.366,0.048,234.96,14.2,0,0,17
3.436,3.386,0.05,235.77,14.2,0,0,17
3.642,3.496,0.146,236.76,14.8,0,0,17
3.572,3.426,0.146,234.59,14.6,0,0,17
3.588,3.44,0.148,235.13,14.6,0,0,17
3.586,3.44,0.146,235.14,14.6,0,0,17
3.604,3.454,0.15,235.75,14.6,0,0,17
3.6,3.45,0.15,235.69,14.6,0,0,17
3.634,3.48,0.154,236.86,14.6,0,0,17
3.626,3.474,0.152,236.72,14.6,0,0,17
3.606,3.456,0.15,236.05,14.6,0,0,17
2.002,1.832,0.17,237.54,8.4,0,0,17
2.146,2.044,0.102,237.44,9.4,0,0,18
3.354,3.354,0,237,14,0,0,17
3.356,3.282,0.074,235.55,13.8,0,0,17
3.382,3.308,0.074,236.51,14,0,0,17
3.386,3.314,0.072,236.76,14,0,0,17
3.378,3.306,0.072,237.11,13.8,0,0,17
1.746,1.692,0.054,238.72,7.8,0,0,18
3.412,3.342,0.07,237.66,14,0,0,17
3.424,3.354,0.07,238.2,14,0,0,17
3.406,3.334,0.072,237.46,14,0,0,18
3.402,3.33,0.072,237.36,14,0,0,17
2.804,2.74,0.064,238.13,12,0,0,17
2.886,2.74,0.146,240.44,10.6,0,2,18
2.664,2.524,0.14,240.29,10.4,0,1,17
2.522,2.476,0.046,240.98,10.2,0,2,18
2.532,2.486,0.046,241.5,10.2,0,1,18
2.53,2.484,0.046,241.4,10.2,0,1,18
2.532,2.486,0.046,241.52,10.2,0,2,18
2.524,2.474,0.05,241.6,10.2,0,1,18
2.484,2.484,0,241.15,10.2,0,2,17
2.486,2.486,0,241.25,10.2,0,1,18
2.538,2.492,0.046,241.83,10.2,0,1,18
2.488,2.488,0,241.72,10.2,0,2,18
2.55,2.504,0.046,242.31,10.2,0,1,18
2.56,2.512,0.048,242.73,10.2,0,1,18
2.572,2.522,0.05,243.39,10.2,0,2,18
2.568,2.518,0.05,243.2,10.2,0,1,18
2.548,2.502,0.046,242.24,10.2,0,1,18
2.534,2.488,0.046,241.59,10.2,0,2,18
2.532,2.486,0.046,241.47,10.2,0,1,18
2.53,2.484,0.046,241.39,10.2,0,1,18
2.542,2.494,0.048,242.03,10.2,0,1,18
2.724,2.58,0.144,241.8,10.6,0,2,18
2.772,2.592,0.18,241.46,10.6,0,1,17
2.632,2.544,0.088,242.1,10.4,0,0,18
2.596,2.534,0.062,242.52,10.4,0,0,18
2.598,2.536,0.062,242.76,10.4,0,0,18
2.598,2.536,0.062,242.81,10.4,0,0,18
2.59,2.528,0.062,242.47,10.4,0,0,18
2.584,2.524,0.06,242.2,10.4,0,0,18
2.766,2.608,0.158,242.2,10.8,0,0,18
2.754,2.59,0.164,241.88,10.6,0,0,18
2.76,2.596,0.164,242.22,10.6,0,0,18
2.764,2.598,0.166,242.35,10.6,0,0,18
2.764,2.598,0.166,242.44,10.6,0,0,18
2.756,2.592,0.164,242.19,10.6,0,0,18
2.676,2.558,0.118,242.16,10.6,0,0,18
2.498,2.498,0,242.28,10.2,0,0,18
2.496,2.496,0,242.18,10.2,0,0,18
2.492,2.492,0,241.99,10.2,0,0,18
2.488,2.488,0,242.32,10.2,0,0,18
2.506,2.432,0.074,242.55,10,0,0,18
2.486,2.412,0.074,241.98,9.8,0,0,18
2.438,2.368,0.07,242.26,9.8,0,0,18
2.364,2.31,0.054,242.54,9.4,0,0,18
2.33,2.284,0.046,242.29,9.4,0,0,18
2.314,2.268,0.046,241.42,9.4,0,0,18
2.288,2.288,0,242.49,9.4,0,0,18
2.288,2.288,0,242.49,9.4,0,0,18
2.334,2.288,0.046,242.24,9.4,0,0,18
1.898,1.898,0,242.91,7.8,0,0,18
2.216,2.216,0,242.06,9,0,0,18
2.336,2.172,0.164,241.84,9,0,0,17
2.478,2.326,0.152,242.69,9.6,0,0,18
2.424,2.282,0.142,242.02,9.4,0,0,18
2.306,2.168,0.138,241.19,9,0,0,18
2.31,2.17,0.14,241.39,9,0,0,18
2.32,2.178,0.142,241.87,9,0,0,18
2.348,2.198,0.15,243.04,9,0,0,18
2.366,2.212,0.154,243.89,9,0,0,18
2.384,2.224,0.16,244.73,9,0,0,19
2.612,2.328,0.284,244.41,9.6,0,0,18
2.612,2.318,0.294,243.95,9.4,0,0,18
2.608,2.314,0.294,243.88,9.4,0,0,18
2.588,2.298,0.29,243.06,9.4,0,0,18
2.548,2.27,0.278,241.53,9.4,0,0,18
2.55,2.27,0.28,241.63,9.4,0,0,18
2.624,2.31,0.314,241.56,9.6,0,0,18
2.724,2.342,0.382,241.61,9.8,0,0,18
2.598,2.25,0.348,241.03,9.4,0,0,18
2.838,2.456,0.382,242,10.2,0,0,18
2.958,2.57,0.388,242.68,10.6,0,0,18
3.036,2.64,0.396,243.67,10.8,0,0,18
3.144,2.754,0.39,243.23,11.4,0,0,18
2.706,2.324,0.382,242.8,9.6,0,0,18
2.478,2.206,0.272,243.22,9,0,0,18
2.198,1.946,0.252,243.46,8,0,0,18
2.108,1.888,0.22,243.05,7.8,0,0,18
1.962,1.814,0.148,243.51,7.6,0,0,18
1.63,1.474,0.156,244.13,6,0,0,19
1.636,1.478,0.158,244.23,6,0,0,18
1.922,1.754,0.168,243.83,7.2,0,0,18
1.62,1.466,0.154,243.86,6,0,0,18
1.562,1.408,0.154,243.74,5.8,0,0,18
1.552,1.402,0.15,243.12,5.8,0,0,19
1.544,1.396,0.148,242.7,5.8,0,0,18
1.548,1.4,0.148,242.9,5.8,0,0,18
1.542,1.396,0.146,242.55,5.8,0,0,18
1.546,1.398,0.148,242.78,5.8,0,0,18
1.548,1.4,0.148,242.88,5.8,0,0,18
1.558,1.406,0.152,243.47,5.8,0,0,18
1.572,1.416,0.156,244.3,5.8,0,0,18
1.574,1.418,0.156,244.49,5.8,0,0,18
1.544,1.396,0.148,242.69,5.8,0,0,18
1.568,1.414,0.154,244.13,5.8,0,0,19
1.566,1.412,0.154,244.08,5.8,0,0,18
1.574,1.418,0.156,244.59,5.8,0,0,18
1.582,1.422,0.16,244.98,5.8,0,0,19
1.582,1.422,0.16,245.05,5.8,0,0,18
1.592,1.43,0.162,245.12,5.8,0,0,18
1.844,1.542,0.302,245.01,6.4,0,0,19
1.828,1.528,0.3,244.83,6.2,0,0,18
1.798,1.508,0.29,243.46,6.2,0,0,18
1.788,1.502,0.286,243,6.2,0,0,18
1.758,1.482,0.276,241.52,6.2,0,0,18
1.896,1.548,0.348,241.29,6.6,0,0,18
1.93,1.552,0.378,241.36,6.6,0,0,18
1.934,1.554,0.38,241.53,6.6,0,0,18
1.938,1.556,0.382,241.83,6.6,0,0,17
1.938,1.556,0.382,241.87,6.6,0,0,18
1.954,1.564,0.39,242.72,6.6,0,0,18
1.956,1.564,0.392,242.97,6.6,0,0,18
1.948,1.56,0.388,242.67,6.6,0,0,19
