ResponseID,Gender,Age,Edu,Duration,Freq,IR,ICU,IA,IU,IF,ICO,ICR,EOU,SyR,SyF,SyA,SyT,SyI,SySc,SrR,SrRp,SrA,SrC,SrSc,SrCp,SrP,SrCm,SrAc,SrE,SrTa
1092832,1,1,2,3,5,-3,0.33,-1.67,0.33,-2.33,0.67,1.33,-1.33,-1,1.67,-2,-3,-2.67,1.67,-1,-3,-3,-3,-3,-2.25,-3,-2.33,0,-3,1.29
1093504,1,1,2,3,7,3,3,3,3,2.67,3,3,3,2.25,2.67,3,3,3,3,3,3,3,3,2.33,3,3,2.67,3,3,3
1094479,2,1,2,3,5,1.33,2,1.33,2.67,2,2.67,2.33,2,1.5,1.33,1.67,2,1.33,2,1.67,1.5,1.33,2,2,2.5,2.5,2.67,2,1.75,2
1094679,1,1,2,3,6,0,1.33,0,0.33,1,1,1,0.67,1.25,2.33,1.67,1,1,2,1.67,2,2,2,2,2,2,2,2,2,1.71
1095791,1,2,2,3,3,1,1,1,1.33,1,2.33,1.67,1,2,1.33,0.33,0.67,0.67,0.33,2,1.75,2,2,2,2,2,1.67,1,1,0.86
1097711,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1098229,1,1,2,3,5,1.33,-0.33,0.33,1.67,1.67,1.33,1.33,1.67,1.75,1.67,2.33,1.33,1,2,1,0.75,1,2.67,1.67,2.5,3,2,2.33,2.75,2.71
1098274,1,1,2,3,4,0,-0.67,0,-1,-2.67,-0.67,0,-0.67,-0.5,0,-0.33,0,0,0,0,0,0,0.67,0,0,0.5,0,0.33,-0.5,0
1100891,1,1,1,3,6,-1,1,1,0,0.33,0.33,1,0,0.75,1,0,0.67,-0.33,-0.33,1,0.25,1,0.33,0.33,0.75,0,-0.67,0.33,0.5,0.71
1101136,2,1,2,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.33,2.25,2
1102107,1,1,1,3,1,0,0,0,2,2,2,2,1,1,1,2,2,2,2.33,2,2,2,2,2,2,2,2,2,2,2
1102256,1,1,1,3,2,1,0.33,0.33,0.67,0.33,1,1,0.67,0.75,1,1,1.33,1,1,0.67,1,1.67,0.67,0.33,0.75,1,1.67,0.67,1,1
1103161,2,1,1,3,7,0,0.33,0.67,-2.33,0.33,0.33,1.33,0.33,0.75,1.67,0,-0.67,0.67,1,1.33,-1.25,0.33,0.33,0.33,-0.25,1.5,-1.67,-1,-1.5,-2.14
1103797,2,1,2,3,2,2,2,1.33,2,2,2,3,1.33,1.25,1,2,0.33,0.67,1.33,0,0,0,0,0,0,0,0,2,2,2
1104894,2,1,2,3,2,-2,-2.33,-3,0.33,-1,-2,0,-0.67,-1.75,-1.67,-1,-0.67,0.33,1,-1,-0.5,-0.67,0.67,0.33,0.5,0.5,0.33,-0.33,0.25,0.57
1105220,1,1,1,3,7,0.33,0.67,1,2,1,1,1.67,0,0.5,0.33,0.33,0.33,0.33,0.33,0.67,0.75,0.67,1,1,0.5,-0.5,0.67,-0.67,1,0.57
1105756,1,1,2,3,5,1.33,2,1.33,2,2.67,1.33,2.67,1.33,1.25,0,2,1.67,0.33,2.67,1.33,1,1.33,2.33,1.67,2,2.5,2.33,1.67,1.5,1.71
1107224,2,1,2,3,3,-0.33,0.33,0,0.67,1.67,1.67,1.33,1,0.75,1,2,2.67,1.33,2,1.67,2,2,1.67,2.33,1.5,1.5,1.67,1.67,1.75,1.86
1107269,2,1,2,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1107957,1,1,2,3,5,0.67,2,-0.67,1.67,1.33,1,-0.33,0,0.75,-0.33,1,1.33,0,1.67,2,2,2,2,2,2,2,2,2,2,2
1108056,2,1,1,3,3,2.33,2.33,2.67,2.33,2,3,2.33,1.33,1.5,1.67,2,1.67,1.67,2.67,2,1.25,1.67,2.33,3,1.5,1,0,2,-0.75,1.43
1109779,1,1,1,3,6,0,1,0.67,0.33,0,0,0,0.67,0,0,0,-0.33,0,0.33,0.67,0,0,0,0,-0.25,-0.5,0.33,0.33,-0.25,-0.29
1109933,2,1,2,3,3,-1.33,0.33,-0.67,-1,-1,-1,-1,-0.33,0.25,0.67,0,0,0,1,-1.33,-1,-1,-0.33,-0.33,-0.25,-0.5,-0.33,-0.67,0.25,-0.14
1110726,1,2,2,3,3,2,2,2.67,1.67,1.67,1,1.67,1.67,1.75,1.33,1.67,2,2,2,2,1.75,1.67,1.67,2,2,2,2,2.67,2,2
1111286,1,1,2,2,2,3,0.33,-0.33,2.67,2,3,1.67,2.67,1.5,2.33,-0.33,-0.33,1.33,3,0.33,0.75,2,3,2.33,1.25,0.5,0.67,1.67,1.25,1.29
1111418,1,1,2,3,7,1.67,1.33,1,1.33,2.33,2,1.67,1.67,1.5,1.67,1.67,2,2,2.33,1.33,2,1.33,0.67,1,0.75,0.5,1.33,1.33,0,0.43
1111746,1,1,2,3,4,0,-1,0.33,0.33,0.33,1,1,0.67,0.75,0.67,1,-0.67,0.67,0,0.33,0.5,0.33,-1,0.33,0,0.5,1,0.33,-0.5,0
1112802,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1112996,1,1,2,3,6,1.33,2,1,0,0,1,1,-0.67,0.25,0.67,1,1,0.67,1,1,1,1,0,0,0,0,0,0,0,0
1113313,1,1,2,3,5,0.67,0.67,1.33,1.33,1,1.33,0.67,0.67,1,0.67,1.33,1,1.33,1,1,1,1,1.33,1.33,1,1.5,1,1.33,1,1.57
1113547,2,1,2,3,3,0,-0.33,-2,-1,-2.67,-0.67,0.33,0,-0.75,-2.33,-0.33,0.67,1,0,-1.67,-0.75,-1,-1.33,-3,-2.75,-3,-3,0.33,-2.75,0.29
1113596,2,1,2,3,6,2,2.67,2,2.33,2,2,2,2.67,2,2,2.67,2.67,3,3,2,2,2,2,2,2,2,2,2,1.5,2.29
1114315,2,1,2,1,7,2,2,1.67,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1114632,2,1,2,1,4,3,3,2.33,1.33,1,2,2.33,2,2,2.67,3,2.67,2,2,2,2,2,2,2,2,2,2,2,2,2
1115115,1,1,2,1,7,3,2.33,2.33,3,3,3,2.33,1.67,2,2.33,1.67,2.33,2,2.33,3,1.25,2,2,2.33,2.75,3,2.67,2.33,2.75,2.86
1116461,1,2,2,3,6,3,2.67,2.67,2.67,2.67,3,3,2.33,2.25,2.67,3,2.33,1.67,2.33,2.67,2.75,2.33,2.33,1.67,2.25,2.5,2.33,2,2.25,2.57
1117830,1,1,2,3,4,2,1.33,2,1.67,1.67,2,2,2,2,2,2,2,2,2,0.67,0.25,0,0.33,0.67,0,0,0.67,0.33,0.75,0.86
1118113,1,1,2,3,7,-0.33,-1,1.67,-0.33,0.33,0.33,1.33,-0.33,0.5,1.67,2.67,1,0,-2,0,0,0,0.33,0.33,0,0,0,-1.67,0.75,0.29
1118469,2,1,1,2,6,-2.33,-2.67,-2,-2.33,-1,-2.67,-1,-2.67,-2,-1.33,-0.67,-0.33,-1.67,-1,-3,-2.5,-2.67,-2.67,-3,-2.25,-2,-3,-2.67,-2.5,-2
1118740,1,1,2,3,4,-0.67,-0.67,-1.33,-0.67,-0.67,-0.67,-1,0,0,0,-0.67,-0.33,0,-0.33,0,0,0,-0.33,-0.33,-0.75,-0.5,-0.67,-2,-1,-1
1118937,1,1,2,3,3,0.33,1,1.67,1.67,1,1,1.33,1.33,1,1,0,0,0,0,1,0.75,1,1.67,1,1,1,1,1,1.25,1.14
1119190,1,2,2,3,6,3,3,3,3,2.67,3,3,3,3,3,3,2.67,2.67,3,0,0.25,0,1.33,1,0.75,0.5,1.33,1,0.5,0.43
1119776,1,1,2,2,3,0,1,1,1,1,1,1,-1.33,-0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120499,2,1,2,3,3,2,2,2,2,2,2,2,1.67,1.25,0.67,2,0.67,2,2,0.33,1,0.33,1.67,2,0.5,1.5,0.33,1,0.25,0
1120974,2,1,1,3,1,1,2,2,2,1.67,1.67,2,1.67,2,2,2,2,1.67,2,2,1.75,2,1,1.67,2.5,0.5,1,0.67,-0.75,1
1121507,1,1,2,3,7,1,2,2,2,2,2,2.33,1.33,2.25,1.67,1,0.67,1,2.33,2,2,2,1,0.67,1,1,1.33,2,1.5,2
1121770,2,1,1,3,1,0,1,0,0.67,0.67,0.67,0,0.33,-0.25,0.67,-1,0,0,2,0.33,-0.5,0.33,0,0,0,0,0,0.33,0,0.29
1121849,1,2,2,3,7,0,1,1,1,1,1,1,0,0.75,-0.33,1,0.33,0,1,0,0,0,0,0,0,0,0,0,0,0
1122244,2,1,1,3,4,2,2.67,1.33,2.33,2,2.33,2,2,1.75,1.33,1.67,2,2,2.67,2.67,2,1.67,1.33,1.67,2.25,2,1,1.33,1.5,0.86
1123024,2,1,3,3,7,0.67,0.33,0.33,0,0,0.33,-0.33,0,0,0,-3,-3,-3,-3,0,1,-0.33,0.67,-0.67,0,0,0.67,0.33,-1.25,0.14
1123156,1,1,2,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1125351,1,1,2,3,5,1,1,1.67,2,1.33,1.67,2,2,1.75,2,1,2,1.67,1,1.33,2,1.33,2,1,1.75,1.5,1.67,1,1,1
1125362,1,1,2,3,2,0.67,-0.33,0,-0.33,-1.33,0,-0.67,-0.67,0,-1,-1,-1,-0.67,-0.33,-0.33,-0.25,-1,-0.33,-0.33,0.5,-0.5,0,-1,-0.25,-1
1125832,1,1,2,3,7,2,2,1.33,1,1,1,1,1,1,1,1.67,1.67,1.67,2,1,1.75,1.67,1.33,1.67,1.5,1.5,1.67,1.67,1.5,1.43
1127504,2,1,2,3,7,2,2,2,3,3,3,3,3,3,2.67,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3
1128237,1,1,2,3,5,-0.67,1,-0.33,1,0,0.33,-0.33,0.67,-0.5,-0.33,1.33,1,0,1,0,0.5,0,0.67,0.33,0.25,0,0.33,-0.33,0.5,0.14
1128680,1,1,2,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1129306,1,1,2,3,1,0,0,0,3,3,3,2.33,2,2,2.33,3,2.67,3,3,0,0,0,0,0,0,0,0,0,0,0
1129435,1,1,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1129964,1,1,2,3,1,0.67,1.67,0.33,1.67,1.33,1.33,0.67,1,0.5,0,0.67,0,0,0,1,0.5,0.67,0.67,0.33,1.25,1,0.33,0,0.25,0.71
1130516,1,2,2,2,5,0,-1.33,-1.33,-1,-1,-1,-1.33,-1,-1,-1,-1.67,0,-0.33,0,-0.67,-1,-0.67,-0.67,-0.67,-0.5,-0.5,0,-0.33,-0.5,-0.57
1133487,2,1,2,3,3,3,3,0,2,2.33,1.67,1.67,1,1,1.67,2.33,1,3,3,3,1,3,3,1.33,1,1.5,-1.67,3,0,1.29
1137619,2,1,2,1,3,0,3,2.33,2,3,3,3,2.33,2.25,2,3,2.33,2.33,3,0,0,0,0,0,0,0,0,0,0,0
1138486,2,1,1,2,6,0,0.67,0.33,0,0,0,0,1,1,1,1,1,1,0.67,1,1,1,1,1,1,1,1,1,1,1
1140026,1,1,2,1,2,-0.67,-1,0.33,0.33,0.33,1,0,0.33,0.75,0.67,0,0.67,1,1.33,0,1.5,1,0.67,0.67,0.5,0.5,0.33,0.67,0.25,0.29
1145031,1,2,2,3,3,0,2.33,1.67,3,0.67,2,3,0.33,2.75,2.33,2.67,0,2,3,0,0,0,0,0,0,0,0,0,0,0
1147060,1,1,1,2,6,2.33,2.67,2,2.67,2.67,2,2,2,2,2.33,3,1.67,3,2,2.67,2.75,2.67,2.33,2,2.25,2.5,2.67,1.67,2.25,2.57
1147065,1,1,2,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.25,0,0.67,0.67,1.25,0.5,1.33,2.33,1.75,1.86
1148806,1,1,2,2,3,2.67,2.67,3,2.33,3,2.67,2.67,3,3,3,2.33,3,2.67,2.67,2.33,2.75,3,3,2.67,3,3,2.33,3,3,3
1150676,2,1,2,3,7,2,2,2,2,2,2,2,2,2,2,1,0,1.67,1.67,2,2,2,2,2,2,2,2,1,0.5,1.57
1150902,2,1,2,1,6,1.67,2,2,2,2,2,1.67,2,1.25,2.33,2,2,2,2,2,2,1.67,2,2,2,2,2,2,2,2
1151821,1,1,1,1,4,0,1,2,0,-1,0.33,1,2,1.75,2,2,0,0,2,2,1,2,1,1.33,1.5,1,1,2,1.25,1
1152230,2,1,2,1,4,0,3,2,2.33,2.33,2.67,2.67,3,2.75,3,2,1.67,1,1.67,3,3,3,2.67,3,3,2.5,3,3,3,3
1152458,1,2,3,3,4,2.33,1.67,1,2,2,2,2,1.33,1.5,2,2,2,2,1.67,1.67,1.25,1.33,2,2,1.75,1.5,2.33,2.67,2.5,2.43
1153242,2,1,1,2,3,2,2,1.33,2.33,2.67,2.33,1.67,2,1.75,1.67,2.67,3,3,3,2.67,2.5,3,2.33,2,2.5,1.5,2,2.67,3,3
1153252,1,1,1,1,3,-1,-0.67,-0.33,3,2,-0.33,2.33,1.33,2.25,3,1.67,-1,-2,1.67,0.33,1,-0.33,2,1.33,0.25,0.5,1.67,0.67,0.25,0.43
1153576,2,1,3,2,3,0,1,1.33,2.67,2,1.33,2,2,1.25,1,1.67,2,2,2,2,2,2,0,0,0,0,0,2,1,1.14
1153590,1,1,2,2,2,-3,-2.67,-2.33,-2.67,-2.67,-2.67,0,-0.67,-0.5,0,-0.67,-2,-1,2,0,-0.25,0,-1.33,-1,-1,-1.5,-0.33,-1,-1.25,-1
1154765,2,1,2,1,3,3,2,3,2.33,2,3,2.67,2,2,2,3,2,2.33,3,3,3,3,3,3,2.5,2.5,2,3,3,3
1155120,1,1,1,1,5,1.33,1.67,0.33,0.67,1,0.67,0,1.33,1,1.33,1,1.67,2,2.67,1,0.25,0.67,0.67,1,0.25,1,1.33,1,1,1.14
1155505,2,1,2,1,6,3,3,1.33,3,2,3,3,3,3,3,3,2.67,2.67,2.33,2.33,3,1.67,3,3,3,3,3,3,3,3
1155643,1,1,2,3,2,-0.67,0,-0.67,-0.33,-0.67,-0.67,0,-0.33,-1.25,-1.67,0.67,0,0,0,-0.33,0,-0.33,0,0,0,0,0,0,0,0
1155773,1,1,1,1,6,3,1.67,3,1.67,1,-0.67,3,2.67,1.75,0.67,3,3,3,3,3,0,3,3,3,3,3,3,3,3,1.71
1156702,1,1,3,3,5,1,1.33,1.33,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1157698,2,1,2,3,7,-0.33,2.33,1.33,0.67,-0.67,1.67,1,1,1.25,1,0.33,0.67,0.33,1.33,-0.33,0.25,0.33,0,-0.33,1.25,2,1,1.33,1.25,1.29
1157872,1,1,2,2,4,1.67,1,1.67,1.33,0.67,1.67,1.33,0.67,0.25,0.33,1.33,2,1.67,2,0.67,1,1,1,1.33,1.5,1,1,1,1,1
1159269,2,1,2,2,5,0.67,0.33,0.33,2,1.67,1,1,1.67,1.5,2,1.67,1.33,1.67,1,1.67,1.75,1.67,2,1.67,1.75,2,1.67,1.67,1.75,1.86
1161177,2,1,2,1,7,3,2.67,2.67,2.67,3,2.67,2.67,2.33,2.75,3,2.33,2.67,2.67,2.67,3,2.5,2.67,2.67,2.67,2.5,3,3,2.67,2.5,2.14
1161548,1,1,1,1,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1163358,2,1,2,2,5,-0.33,0.33,1,-0.67,-2,0,0,-1.33,-1.75,-1.33,-0.67,-1.67,-1.33,-1.67,-0.67,-0.25,-1,-1.33,-1,-0.5,-1,-1.33,-1.33,-0.5,-1.43
1163395,1,2,2,1,7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
1167497,2,1,1,1,1,1.67,2,2.67,2.67,1.67,2.67,2.67,1.33,2.25,1.67,1.67,1.67,2.67,1.67,2.33,2.25,2,0.33,1.33,1.75,2.5,2.67,2.33,2.25,2.43
1168503,1,1,1,1,7,2,2,1.33,2,2.67,1.67,2.33,1.33,1.75,2.67,2,1,0.67,0,0,0,0,0,0,0,0.5,0,1,0,0
1169943,2,1,2,2,5,2,1.67,2,1.67,2,2,2,1.67,1.75,1.67,2,2,2,3,2,2,2,2,2.67,2.5,2,2.33,2,2,2
1170181,1,1,1,1,5,2,3,-0.33,2.67,1.67,2.67,3,-1.33,1,0,3,3,3,2,3,3,3,3,3,3,3,3,1,1,1
1170262,2,1,1,1,7,1,1,1,1.33,1,1.67,1.33,1,1,1,1.67,1.67,3,1.67,2,2,2,2,2,2,2,2,1,1,1
1170263,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2
1172656,1,1,2,1,7,1.33,1.67,0,1,1,1,1,1,1,1,0.67,1,0.33,1,0,0,0.33,1,0.67,1.25,0.5,0.33,0,0.5,0.57
1173306,2,1,1,1,6,0.67,2,1.67,2,2,2,1.67,2,1.25,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
1174058,1,1,2,1,2,1,0,0.67,0,0,0,0.33,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1174845,1,1,2,2,5,1,0,0,0,-2,0.33,0.67,-1.33,0,-1.67,-0.33,-0.33,0.67,1,-0.33,-0.5,-0.33,1,1,1,1,1,1.67,-0.5,1.71
1175520,2,1,2,1,4,1,2.67,2.33,2,2,2.33,2.33,1,1,0.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.14
1178033,2,1,1,1,5,-0.67,-0.33,-1.67,0.67,0.67,1,0.33,0.33,0.75,1.67,1.67,-0.33,1,1.33,1.33,2,2,-1.33,-1.67,-1.25,-2,-1,-1.33,-2,-1.86
1179799,2,1,1,1,4,2,1.33,0.33,2,1.67,1,2,2,0.75,2.33,2.33,0,-1.67,2.33,0,0,0,0,0,0,0,0,0,0,0
1181722,1,1,2,1,7,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1181758,1,1,2,1,6,0.67,1.67,0.67,1.67,1.67,1.67,1.67,1.67,1,1.33,1.33,1.67,1.67,1.33,1.33,1.5,2,-1,-0.33,0,0,1,-1,-1,-0.43
1182215,1,2,2,1,2,-0.33,0.33,1,-2.33,-2.67,-0.33,0.33,-2.33,1.5,1.67,1.33,-0.33,1.67,2,2,1,0,3,1.33,1.5,1.5,2.33,3,0.5,1.57
1183807,1,1,1,1,7,2.67,0.67,-0.33,-1,0.67,-0.33,2.67,1.33,-1.75,0,0.33,-2.33,2,3,-1.67,1,-1.33,-1.67,1.67,1,0,-1.33,1,-2.5,-1
1184493,2,1,1,1,3,1.33,2,2,1,2,2.33,2,2.67,1.5,1.67,3,2.67,2.67,2.67,3,2.75,2.67,3,3,3,3,2.67,2.67,2.5,2.71
1186364,1,1,3,1,5,0.67,1.33,1.33,2,1.67,1.33,1.33,2,1,0.67,1.33,1.67,0.67,1.67,1,1.75,1,1,1.67,2,2,1.33,1.67,1.75,1.43
1186420,1,1,2,1,6,1.33,1.67,1,1,1.33,1.33,1.67,0.67,0.75,1.67,1.67,0.33,1.33,1,0.33,1.5,1.33,1,1.67,1.5,1.5,0.67,1.33,1,0.86
1186450,2,1,1,1,3,3,2.67,3,3,3,3,3,2.67,3,2.33,2.67,3,3,3,3,3,3,3,3,3,3,3,3,3,2.86
1187266,1,1,2,1,7,0.33,0.67,-0.33,0.67,-0.67,0.33,0,-1.67,-1.25,-0.67,-0.33,0.67,-0.33,0.33,-0.67,0.75,0,-0.67,-0.33,-0.75,-0.5,-0.33,-0.67,-1.25,-0.71
1189624,2,1,2,1,7,1,1,1,2,2,2,2,1,1,1,1,1,0,0.67,1,1,1,1,1,1,1,1,0.67,0.75,0.86
1190945,2,1,1,1,7,2,3,2.67,2,2.33,2,1.67,2,2,1.33,1.67,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1193036,1,1,2,2,7,0.33,2,1.33,1.33,2,1.67,1.67,2,1.25,1.67,2.33,1,1.67,3,2.33,1.75,2.33,3,3,2,2.5,2,1.67,1.5,2.14
1194080,1,1,2,1,2,2.33,1.33,1.33,2.67,2.33,2,2.33,1.67,1.75,2,2,2,1,2.67,2,2,1.67,1.67,2,2,2,2.33,0,1.75,1.71
1194128,1,1,2,2,7,-1.33,1.67,1,1.67,1,1.33,1,0.67,0.5,1.33,1.67,1.33,2,2.33,1.67,1.75,1.67,1.67,1.33,1.75,1,2,1.33,0.5,1.43
1194174,2,1,2,1,7,1,1,-0.67,1,0.67,1.67,1.67,0,-0.25,-0.67,1,2,2,2,1,0.75,1.33,-1,2,2,1,1.67,1,1,1
1194413,1,1,2,1,2,0,2.33,2.33,3,3,3,3,3,2.75,3,3,2.67,3,3,3,3,3,3,3,3,3,3,3,3,3
1194796,1,1,3,1,1,0.33,1,0.33,1,1,1,1,0,1.25,-0.67,1.67,2.33,1,3,1,0.75,1,0,0,0,0,0.33,0,0.5,0
1194810,1,2,2,2,6,0.33,-0.33,0.33,-1,-1.67,0.33,1,-1,0.75,-0.33,0.67,0.33,1,0,-0.67,-0.75,-1.33,0.67,1,0,0,0,0.67,-0.5,0.14
1194856,2,1,2,1,7,1,1,0.33,0.33,0,1,0.67,0,-1,-1,0.67,0.33,1.33,0.67,1,0.25,0.67,-0.33,0.33,0.5,0,0,0.33,-0.5,0
1199242,2,2,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1199554,2,1,2,3,7,1.67,1.67,1.33,1.33,1,1.33,1.67,1.67,1.25,1.67,1.67,1.33,1.33,1.67,2.67,2,2.33,1.33,1.33,1.75,1.5,2,2.33,2.25,2.43
1199670,2,1,2,1,6,3,2.67,2.33,3,3,2.33,3,2.33,2,2.33,3,2.67,3,3,2.67,2.5,2.67,3,2.67,3,3,2.33,3,3,3
1201268,2,1,2,2,4,0.33,-2,-1,-1.33,-1,-2,0.33,0.33,-0.5,-1.33,-1,-0.33,1,1.67,-1.67,-2,-2,1,1.33,0.25,0.5,0.33,-2,1,1.86
1202072,1,1,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1202198,1,1,2,1,6,2,2,2.33,1.67,2,1.67,2,1.67,2.25,2.67,2,1.67,1.67,2,2,2,2,2,2,2,2,2,2,2,2
1202999,2,1,2,1,5,-1,-3,-3,-2.33,-3,-3,-3,-2,-3,-3,-3,-3,-3,0,-3,-3,-3,2,1.33,0.25,-0.5,-1.67,-0.67,2,0.57
1203810,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1
1203964,2,1,2,2,6,1,2,1.33,2.67,3,3,3,2,2,2,2,2,2,2,2,2,2,2.67,2,2,2.5,2,2,2,2
1204651,1,1,2,1,5,1.67,2,1.67,1.67,2,1,1.67,2,1.5,1.33,1,1,1,1,0.67,0.25,1,0,0.67,0.5,0.5,0.33,0.67,0.25,0.14
1205766,2,2,2,1,2,3,3,3,3,2.33,2.33,3,3,3,3,3,3,3,3,3,3,3,2.67,3,3,3,3,3,2.75,2.57
1206756,1,1,1,3,1,1,2,1.33,1.33,-0.67,0.67,0.33,-0.67,-1,-0.67,-1.33,0,-0.33,2,0,0,0,0,0,0,0,0,0,0,0
1207438,1,1,2,1,6,1,1,1,1,1,1,1,1.33,1.75,1.67,2,1.67,2,2,1,1.25,1,1,1,1,1,1,1,1,1
1207446,1,1,1,1,7,1,1.67,1.33,2,1.67,1.33,2,1.33,1.75,1.67,2,2,2,2,1.67,1.5,1.67,2,1.67,2,2,2,1.33,1,1.43
