ResponseID,Gender,Age,Edu,Duration,Freq,IR,ICU,IA,IU,IF,ICO,ICR,EOU,SyR,SyF,SyA,SyT,SyI,SySc,SrR,SrRp,SrA,SrC,SrSc,SrCp,SrP,SrCm,SrAc,SrE,SrTa,Satisfation
91123,2,1,2,3,7,0,2,0.67,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,satisfied
519987,1,1,1,1,6,0.33,1,1.33,1.67,1,1.33,1.33,2,1.25,1.67,0.33,0.67,2,2,1.67,1.5,2,2.67,1.67,2.25,2,1,2,2,2,satisfied
606216,1,1,2,3,6,0,1.67,1.33,-0.33,-0.33,1,1,-1,0.5,1.67,0.67,0.67,1.67,1,-0.33,0.5,0.67,0.67,0.33,0.75,0,0.33,-0.33,0.5,0.57,Somehow Satisfied
623821,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Somehow Satisfied
632548,1,1,1,3,2,0,3,3,2,2.33,2.33,3,1.67,1.75,1.33,1.67,0.67,0.67,0.67,0.67,1,0.67,0,0,0,0,0,2,1.5,2,Somehow Satisfied
818752,1,1,2,4,2,0,2,-2,1.33,1.33,1,-0.33,1.67,0.5,0.33,2.33,1,1.33,2.67,-1.67,0.5,-0.33,0.67,0.33,0.75,-1.5,-2.33,1.33,0.25,1.57,Somehow Satisfied
824285,1,1,2,4,4,2,2,2,-0.67,-3,2,2,-1,2,2,2,-2,2,2,0,0,0,0,0,0,0,0,0,0,0,Somehow Distatsified
825263,1,1,3,1,6,2,2.67,1.67,2.33,2.33,2.67,3,2.67,2.25,1.33,3,2,2.67,3,2.67,2.75,3,2.67,3,2.75,2.5,2.67,3,2.25,2.86,satisfied
825494,1,1,2,3,7,1,2.33,2,2,2.33,1.67,2.67,2,2,1.67,2,2,2,2,2,1.75,2.33,2,2,2,2,2,3,2,2.29,satisfied
845856,1,1,2,2,1,0.67,0.33,0.67,1.67,0,0.67,1,1,-0.25,-0.67,0.67,1,0.67,1.33,0.67,0.25,0.67,1.33,1.67,1,1,1.67,0.33,0,0.86,satisfied
845957,2,1,3,1,2,3,3,3,3,3,3,3,2.33,3,3,3,2.67,3,3,3,3,3,3,3,3,3,3,2.67,3,2.86,satisfied
854373,1,1,2,1,7,0,1,0.67,-0.67,0,1,0,0.33,-0.75,0.33,0.33,0.67,1,0,0.33,0.5,1,0.67,0,0.5,1,1,0.33,0,0,Somehow Satisfied
864402,1,1,2,1,7,-0.67,2.33,1.67,1.67,1.67,2,2,1.67,2,1,1.67,2,2,2,2,2,2,2,2,2,2,2,2,1.25,2,satisfied
867150,1,1,2,3,4,1,1,0.33,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,satisfied
869176,1,1,2,3,3,2,3,3,1.67,2.67,2.33,3,2.33,2.75,2.67,3,2.67,3,2.33,1.67,2.75,2,3,3,3,3,3,3,2.75,2.86,satisfied
